temperature_K,time_ps,frame_index,n_pure,n_err
1500,1982.000000,990,0,0.000000
1500,1994.000000,996,0,0.000000
1500,2006.000000,1002,0,0.000000
1500,2018.000000,1008,0,0.000000
1500,2032.000000,1015,0,0.000000
1500,2044.000000,1021,0,0.000000
1500,2056.000000,1027,0,0.000000
1500,2068.000000,1033,0,0.000000
1500,2082.000000,1040,0,0.000000
1500,2094.000000,1046,0,0.000000
1500,2106.000000,1052,0,0.000000
1500,2118.000000,1058,0,0.000000
1500,2132.000000,1065,0,0.000000
1500,2144.000000,1071,0,0.000000
1500,2156.000000,1077,0,0.000000
1500,2170.000000,1084,0,0.000000
1500,2182.000000,1090,0,0.000000
1500,2194.000000,1096,0,0.000000
1500,2206.000000,1102,0,0.000000
1500,2220.000000,1109,0,0.000000
1500,2232.000000,1115,0,0.000000
1500,2244.000000,1121,0,0.000000
1500,2256.000000,1127,0,0.000000
1500,2270.000000,1134,0,0.000000
1500,2282.000000,1140,0,0.000000
1500,2294.000000,1146,0,0.000000
1500,2306.000000,1152,0,0.000000
1500,2320.000000,1159,0,0.000000
1500,2332.000000,1165,0,0.000000
1500,2344.000000,1171,0,0.000000
1500,2356.000000,1177,0,0.000000
1500,2370.000000,1184,0,0.000000
1500,2382.000000,1190,0,0.000000
1500,2394.000000,1196,0,0.000000
1500,2408.000000,1203,0,0.000000
1500,2420.000000,1209,0,0.000000
1500,2432.000000,1215,0,0.000000
1500,2444.000000,1221,0,0.000000
1500,2458.000000,1228,0,0.000000
1500,2470.000000,1234,0,0.000000
1500,2482.000000,1240,0,0.000000
1500,2494.000000,1246,0,0.000000
1500,2508.000000,1253,0,0.000000
1500,2520.000000,1259,0,0.000000
1500,2532.000000,1265,0,0.000000
1500,2544.000000,1271,0,0.000000
1500,2558.000000,1278,0,0.000000
1500,2570.000000,1284,0,0.000000
1500,2582.000000,1290,0,0.000000
1500,2594.000000,1296,0,0.000000
1500,2608.000000,1303,0,0.000000
1500,2620.000000,1309,0,0.000000
1500,2632.000000,1315,0,0.000000
1500,2646.000000,1322,0,0.000000
1500,2658.000000,1328,0,0.000000
1500,2670.000000,1334,0,0.000000
1500,2682.000000,1340,0,0.000000
1500,2696.000000,1347,0,0.000000
1500,2708.000000,1353,0,0.000000
1500,2720.000000,1359,0,0.000000
1500,2732.000000,1365,0,0.000000
1500,2746.000000,1372,0,0.000000
1500,2758.000000,1378,0,0.000000
1500,2770.000000,1384,0,0.000000
1500,2782.000000,1390,0,0.000000
1500,2796.000000,1397,0,0.000000
1500,2808.000000,1403,0,0.000000
1500,2820.000000,1409,0,0.000000
1500,2832.000000,1415,0,0.000000
1500,2846.000000,1422,0,0.000000
1500,2858.000000,1428,0,0.000000
1500,2870.000000,1434,0,0.000000
1500,2884.000000,1441,0,0.000000
1500,2896.000000,1447,0,0.000000
